direction,name,ingredients,url,products,crawl_time,prep_time,servings,img_url,description
"1  Heat oven to 350 degrees F. Coat 13 x 9 x 2-inch baking pan with nonstick cooking spray.,2  Set aside 1/2 cup of the cake mix. In a medium-size bowl, stir together the remaining cake mix, cornflake crumbs, 1 egg and 1/4 cup of the butter. Press into the bottom and partially up sides of the prepared baking pan.,3  In a medium-size bowl, beat cream cheese, sugar, almond extract and remaining two eggs; spread over crust. Dollop cream cheese mixture with preserves and gently spread over cream cheese.,4  Sprinkle reserved cake mix over the top and drizzle with remaining 1/4 cup butter. Bake at 350 degrees F for 25 minutes. Sprinkle with sliced almonds and bake an additional 25 minutes or until set.,5  Cool completely in pan on cooling rack. Refrigerate for at least 2 hours. Cut into 32 bars and serve slightly cool.",raspberry cheesecake bars,"1,1/2,3,1/2,2,1/4,1,1,1/2,,cup,,cup,packages,cup,teaspoon,cup,cup,box (18.25 ounces) lemon cake mix,cornflake crumbs,eggs,(1 stick) unsalted butter, melted,(8 ounces each) cream cheese, softened,sugar,almond extract,seedless raspberry preserves,sliced almonds",http://www.familycircle.com/recipe/bars/raspberry-cheesecake-bars/,"box (18.25 ounces) lemon cake mix,cornflake crumbs,eggs,(1 stick) unsalted butter melted,(8 ounces each) cream cheese softened,sugar,almond extract,seedless raspberry preserves,sliced almonds",2017-03-23 15:40:40,15 mins,32 servings,http://images.meredith.com/bhg/images/recipe/p_R100437.jpg,  
"1  Heat oven to 450 degrees . Toss squash with 1 1/2 tbsp of the oil and 3/4 tsp of the curry powder. Spread on a large rimmed baking sheet and season with salt and pepper. Toss chickpeas with 1/2 tbsp of the oil and 1/2 tsp of the curry powder. Spread onto a small baking sheet. Roast squash and chickpeas at 450 degrees  for 25 minutes, stirring halfway through.,2  While squash roasts, combine chicken broth, quinoa and remaining 3/4 tsp curry powder in a medium saucepan. Bring to a boil; cover and reduce heat to medium-low. Cook 15 minutes or until broth is absorbed.,3  Meanwhile, heat remaining 1 tbsp oil in a large nonstick skillet over medium to medium-high heat. Add spinach and cook until wilted, 2 minutes. Remove to a plate. Reduce heat to medium; add onion to the skillet and cook 5 minutes.,4  In a medium bowl, whisk lemon juice, mayonnaise, curry powder, sugar, salt and pepper. While whisking, add olive oil in a thin stream.,5  Stir parsley into cooked quinoa and toss with a few tablespoons of the dressing. Divide among 6 bowls. Top with roasted squash and chickpeas, spinach, onion and feta. Drizzle with dressing.",Roasted Veggie Quinoa Bowl,"4,3,2,1/4,1,3,1 1/2,1,1,3/4,1/4,2,1/2,1,1/2,1/4,3,cups,tablespoons,teaspoons,teaspoon,,,cups,cups,,,,cup,cup,tablespoons,teaspoon,teaspoon,teaspoon,teaspoon,tablespoons,1/2-inch cubes butternut squash,olive oil,curry powder,salt,Pinch of black pepper,can (15.5 oz) chickpeas, drained and rinsed,low-sodium chicken broth,tricolor quinoa,pkg (11 oz) fresh baby spinach,medium red onion, sliced,Chopped parsley,crumbled feta cheese,fresh lemon juice,mayonnaise,curry powder,sugar,salt,black pepper,olive oil",http://www.familycircle.com/recipe/roasted-veggie-quinoa-bowl/,"1/2-inch cubes butternut squash,olive oil,curry powder,salt,Pinch of black pepper,can (15.5 oz) chickpeas drained and rinsed,low-sodium chicken broth,tricolor quinoa,pkg (11 oz) fresh baby spinach,medium red onion sliced,Chopped parsley,crumbled feta cheese,fresh lemon juice,mayonnaise,curry powder,sugar,salt,black pepper,olive oil",2017-03-23 15:40:55,10 mins,6 servings,http://images.meredith.com/bhg/images/recipe/p_RU272313.jpg,  
"1  Heat oven to 450 degrees . Coat a large rimmed baking sheet with nonstick cooking spray.,2  Place chicken pieces, potatoes, peppers, onion and garlic on prepared pan. Drizzle with olive oil and season with salt, Italian seasoning and pepper.,3  Bake at 450 degrees  for 30 minutes (stir vegetables after 20 minutes) or until chicken reaches 165 degrees  and vegetables are tender.,4  To serve, sprinkle basil on top and squeeze with lemon wedges.",Sheet Pan Chicken,"4,4,1 1/2,2,1,4,2,1,1,1/4,1/2,,,pounds,,,,tablespoons,teaspoon,teaspoon,teaspoon,cup,,small chicken thighs (about 1 1/4 lbs),small drumsticks (about 1 lb),tricolor small new potatoes,sweet peppers, seeded and cut into large dice,onion, peeled and cut into 8 wedges,cloves garlic, peeled and smashed,olive oil,salt,dried Italian seasoning,black pepper,basil, cut into ribbons,Lemon wedges, for squeezing",http://www.familycircle.com/recipe/sheet-pan-chicken/,"small chicken thighs (about 1 1/4 lbs),small drumsticks (about 1 lb),tricolor small new potatoes,sweet peppers seeded and cut into large dice,onion peeled and cut into 8 wedges,cloves garlic peeled and smashed,olive oil,salt,dried Italian seasoning,black pepper,basil cut into ribbons,Lemon wedges for squeezing",2017-03-23 15:40:59,10 mins,4 servings,http://images.meredith.com/bhg/images/recipe/p_RU272272.jpg,  
"1  Bring a large pot of salted water to a boil. Add soba and cook 3 minutes. Drain and rinse immediately under cold water until cool. Set aside.,2  Whisk soy sauce, vinegar, sugar, cornstarch and 3/4 cup water. Heat oil in a large skillet over medium-high heat. Add tofu and saute 4 minutes, turning every minute to brown. Add garlic, bok choy and pepper. Cook 3 minutes. Pour in sauce and bring to a simmer; cook 2 minutes. Using tongs, toss with sprouts, edamame and cooked soba until heated through.",Teriyaki Tofu and Soba Bowl,"1,1/4,3,2,2,2,2,3,1,1,1 1/2,1 1/2,,cup,tablespoons,tablespoons,teaspoons,tablespoons,,,pound,,cups,cups,pkg (12.8 oz) soba noodles (such as Roland),low-sodium soy sauce,rice vinegar,sugar,cornstarch,vegetable oil,pkg (5.5 oz each) teriyaki baked tofu, cubed,cloves garlic, sliced,baby bok choy, chopped,sweet yellow pepper, thinly sliced,bean sprouts,edamame",http://www.familycircle.com/recipe/teriyaki-tofu-and-soba-bowl/,"pkg (12.8 oz) soba noodles (such as Roland),low-sodium soy sauce,rice vinegar,sugar,cornstarch,vegetable oil,pkg (5.5 oz each) teriyaki baked tofu cubed,cloves garlic sliced,baby bok choy chopped,sweet yellow pepper thinly sliced,bean sprouts,edamame",2017-03-23 15:41:07,10 mins,6 servings,http://images.meredith.com/bhg/images/recipe/p_RU272230.jpg,  
"1  Heat oven to 400 degrees . Bring a pot of salted water to a boil. Add asparagus and cook 3 minutes. Drain and rinse under cold water.,2  Roll out puff pastry on a lightly floured surface to 10 x 16 inches. Place on a baking sheet. Beat egg with mustard. Brush on pastry. Bake at 400 degrees  for 12 minutes.,3  Carefully remove pastry from oven and sprinkle with 1 3/4 cups cheese. Top with asparagus, followed by 1/4 cup cheese. Return to oven and bake 8 minutes, until pastry is browned and cheese is melted.,4  Drizzle tart with oil and season with black pepper.",Asparagus-White Cheddar Tart,"1,1,1,1,8,1,pound,,,teaspoon,ounces,tablespoon,,asparagus, ends trimmed,sheet puff pastry (from a 17.3 oz box), thawed,egg,Dijon mustard,shredded sharp white cheddar (2 cups),extra-virgin olive oil,Freshly ground black pepper (optional)",http://www.familycircle.com/recipe/asparagus-white-cheddar-tart/,"asparagus ends trimmed,sheet puff pastry (from a 17.3 oz box) thawed,egg,Dijon mustard,shredded sharp white cheddar (2 cups),extra-virgin olive oil,Freshly ground black pepper (optional)",2017-03-23 15:41:13,10 mins,8 servings,http://images.meredith.com/bhg/images/recipe/p_RU276448.jpg,  
"1  Heat oven to 400 degrees . Heat a large skillet over medium heat. Add bacon; cook 8 minutes, until crispy. Remove to a plate with a slotted spoon. Pour off all but 3 tbsp of the bacon fat. Stir in garlic; cook 1 minute. Whisk in flour; cook 1 minute. Whisk in milk, bring to a simmer and cook 5 minutes. Stir in Gruyere, salt and pepper until smooth. Set aside.,2  Meanwhile, bring a large pot of salted water to a boil. Add orzo; cook 2 minutes less than package directions. Drain. Stir into sauce with peas and cooked bacon.,3  Transfer orzo to a 2-quart baking dish. Top with Parmesan. Bake at 400 degrees  for 20 minutes, until bubbling and lightly browned.",Cheesy Baked Orzo with Bacon and Peas,"8,2,2,2 1/2,8,1/2,1/4,1,1 1/2,1/4,ounces,,tablespoons,cups,ounces,teaspoon,teaspoon,pound,cups,cup,bacon, diced,cloves garlic, chopped,all-purpose flour,milk,shredded Gruyere cheese,salt,black pepper,orzo,frozen peas, thawed,grated Parmesan",http://www.familycircle.com/recipe/cheesy-baked-orzo-with-bacon-and-peas/,"bacon diced,cloves garlic chopped,all-purpose flour,milk,shredded Gruyere cheese,salt,black pepper,orzo,frozen peas thawed,grated Parmesan",2017-03-23 15:41:17,10 mins,12 servings,http://images.meredith.com/bhg/images/recipe/p_RU276437.jpg,  
"1  Heat 1 tbsp oil in a 12-inch cast-iron skillet. Add onion and cook 3 minutes. Stir in potatoes, 1/4 cup water and 1/4 tsp salt. Cook, stirring, 10 minutes, adding 1/4 cup more water halfway through.,2  Stir in asparagus, zucchini, 1 tbsp oil, 1/2 tsp salt and the pepper. Cook 5 minutes. Stir in peas and thyme or chives and cook 3 minutes.,3  Meanwhile, poach eggs in simmering water (in 2 batches) 4 minutes or until desired doneness. Alternately, heat 1/2 tbsp oil in a large nonstick skillet. Fry 4 eggs to desired doneness and repeat. Spoon eggs over hash.",Veggie Hash and Eggs,"3,1,1,3/4,1,1,1/4,1,2,8,tablespoons,,pound,teaspoon,,pound,teaspoon,cup,teaspoons,,olive oil,small onion, diced,red potatoes, rinsed and cut into 1/2-inch cubes,salt,bunch asparagus (1 lb), trimmed and cut into 1/2-inch pieces,zucchini, trimmed and cut into 1/2-inch pieces,black pepper,frozen peas, thawed,fresh thyme or chives,large eggs",http://www.familycircle.com/recipe/veggie-hash-and-eggs/,"olive oil,small onion diced,red potatoes rinsed and cut into 1/2-inch cubes,salt,bunch asparagus (1 lb) trimmed and cut into 1/2-inch pieces,zucchini trimmed and cut into 1/2-inch pieces,black pepper,frozen peas thawed,fresh thyme or chives,large eggs",2017-03-23 15:41:25,20 mins,4 servings,http://images.meredith.com/bhg/images/recipe/p_RU276356.jpg,  
"1  Saute onion and mushrooms in oil in large skillet over medium-high heat 5 minutes. Add turkey; cook 5 minutes.,2  Stir in tomatoes, salt, pepper, garlic powder and thyme. Stir in olives; cover and cook, stirring occasionally, 5 minutes or until turkey is cooked through.,3  Meanwhile, cook noodles following package directions.,4  Serve turkey mixture over noodles.",Turkey Marengo Stew,"1,1/2,2,1 1/4,2,3/4,1/4,1/4,1/4,1/2,1,small,pound,tablespoons,pounds,14 1/2,teaspoon,teaspoon,teaspoon,teaspoon,2 1/2,12,onion, thinly sliced,presliced white mushrooms,vegetable oil,turkey cutlets, cut into 3/4-inch chunks,diced tomatoes,salt,black pepper,garlic powder,dried thyme,pitted green olives, halved and drained,egg noodles",http://www.familycircle.com/recipe/pasta/turkey-marengo-stew/,"onion thinly sliced,presliced white mushrooms,vegetable oil,turkey cutlets cut into 3/4-inch chunks,diced tomatoes,salt,black pepper,garlic powder,dried thyme,pitted green olives halved and drained,egg noodles",2017-03-23 15:42:20,10 mins,4 servings,http://images.meredith.com/bhg/images/recipe/p_FC3664.jpg,  
"1  Shred the lettuce (you will need 3 cups) and core and chop the tomatoes. Set aside. Coat a large nonstick skillet with nonstick cooking spray and heat over medium-high heat. Crumble in the sirloin and season with chili powder and oregano. Cook 3 minutes. Reduce heat to medium and add green peppers and onion. Cook an additional 7 minutes, until vegetables are softened (add 1/2 cup water if pan is dry).,2  Meanwhile, place refried beans in a bowl and microwave on HIGH power for 2 minutes, stirring halfway.,3  Spread a tortilla with 1/4 cup beans. Spoon 2/3 cup of the meat mixture in center of tortilla. Top with 2 tablespoons cheese, 2/3 cup lettuce and 1/4 cup tomato. Fold up tortilla, burrito-style; repeat, using all ingredients. Serve with sour cream.",Mexico City Beef & Bean Burritos,"1/2,2,1,2,1/2,2,1,1,4,3/4,1/3,,,pound,teaspoons,teaspoon,,,can,,cup,cup,head iceberg lettuce,plum tomatoes,ground sirloin,chili powder,dried oregano,green peppers, chopped,small onion, chopped,(15 ounces) fat-free refried beans,whole-grain burrito-size flour tortillas,reduced-fat shredded cheddar,light sour cream",http://www.familycircle.com/recipe/beef/mexico-city-beef-bean-burritos/,"head iceberg lettuce,plum tomatoes,ground sirloin,chili powder,dried oregano,green peppers chopped,small onion chopped,(15 ounces) fat-free refried beans,whole-grain burrito-size flour tortillas,reduced-fat shredded cheddar,light sour cream",2017-03-23 15:42:26,10 mins,6 servings,http://images.meredith.com/bhg/images/recipe/p_R120141.jpg,  
"1  Heat oil in a large nonstick saucepot over medium heat. Add onion, garlic and chili powder and cook 3 minutes.,2  Add peppers and zucchini and continue to cook 5 minutes, stirring occasionally.,3  Stir in tomatoes, tomato sauce, ketchup and oregano. Cook 8 minutes.,4  Gently stir in the beans. Cover pot and continue to cook 3 minutes. Serve with grated cheese, if desired.",3-Bean Chili,"1,1,2,3,2,1,1,1,1/4,1/2,1,1,1,tablespoon,,,tablespoons,,,can,can,cup,teaspoon,can,can,can,,olive oil,medium-size onion, chopped,cloves garlic, peeled and chopped,chili powder,sweet bell peppers, cored and diced,medium-size zucchini, trimmed and diced,(14.5 ounces) diced tomatoes,(8 ounces) no-salt-added tomato sauce,ketchup,dried oregano,(15 ounces) black beans, drained and rinsed,(15 ounces) small white beans, drained and rinsed,(15 ounces) red kidney beans, drained and rinsed,grated cheese, for serving (optional)",http://www.familycircle.com/recipe/chili/3-bean-chili/,"olive oil,medium-size onion chopped,cloves garlic peeled and chopped,chili powder,sweet bell peppers cored and diced,medium-size zucchini trimmed and diced,(14.5 ounces) diced tomatoes,(8 ounces) no-salt-added tomato sauce,ketchup,dried oregano,(15 ounces) black beans drained and rinsed,(15 ounces) small white beans drained and rinsed,(15 ounces) red kidney beans drained and rinsed,grated cheese for serving (optional)",2017-03-23 15:42:50,10 mins,8 cups,http://images.meredith.com/bhg/images/recipe/p_R121816.jpg,  
